Entity,Code,Year,Historical and more recent literacy estimates
Afghanistan,AFG,1979,18.15768
Afghanistan,AFG,2011,31.44885
Afghanistan,AFG,2015,38.16804
Afghanistan,AFG,2021,37.26604
Albania,ALB,2001,98.71298
Albania,ALB,2008,95.93864
Albania,ALB,2011,96.8453
Albania,ALB,2012,97.24697
Albania,ALB,2015,97.5539
Albania,ALB,2018,98.14115
Albania,ALB,2021,98.45
Algeria,DZA,1987,49.63088
Algeria,DZA,2002,69.8735
Algeria,DZA,2006,72.64868
Algeria,DZA,2008,75.13605
Algeria,DZA,2015,79.6084
Algeria,DZA,2018,81.40784
American Samoa,ASM,1980,97.34416
Andorra,AND,2011,100
Angola,AGO,2001,67.40542
Angola,AGO,2014,66.03011
Angola,AGO,2015,71.16416
Angola,AGO,2021,72.28
Anguilla,AIA,1984,95
Antigua and Barbuda,ATG,2001,98.95
Antigua and Barbuda,ATG,2011,98.95
Antigua and Barbuda,ATG,2014,98.95
Antigua and Barbuda,ATG,2015,98.95
Arab World,,1990,54.59347
Arab World,,2000,66.006065
Arab World,,2010,77.364586
Arab World (WB),,1977,44.91603
Arab World (WB),,1978,45.2778
Arab World (WB),,1979,45.69299
Arab World (WB),,1980,46.20482
Arab World (WB),,1981,46.76864
Arab World (WB),,1982,47.41644
Arab World (WB),,1983,47.62969
Arab World (WB),,1984,48.47721
Arab World (WB),,1985,49.33436
Arab World (WB),,1986,50.30953
Arab World (WB),,1987,50.89724
Arab World (WB),,1988,51.88691
Arab World (WB),,1989,52.79188
Arab World (WB),,1990,53.76336
Arab World (WB),,1991,54.85802
Arab World (WB),,1992,55.79571
Arab World (WB),,1993,56.51733
Arab World (WB),,1994,57.35151
Arab World (WB),,1995,58.31884
Arab World (WB),,1996,59.76802
Arab World (WB),,1997,60.48505
Arab World (WB),,1998,61.64368
Arab World (WB),,1999,62.65646
Arab World (WB),,2000,63.56548
Arab World (WB),,2001,64.73938
Arab World (WB),,2002,65.89008
Arab World (WB),,2003,68.51374
Arab World (WB),,2004,69.44388
Arab World (WB),,2005,69.02809
Arab World (WB),,2006,67.94543
Arab World (WB),,2007,68.43213
Arab World (WB),,2008,69.43845
Arab World (WB),,2009,68.10905
Arab World (WB),,2010,69.06882
Arab World (WB),,2011,70.86892
Arab World (WB),,2012,74.35066
Arab World (WB),,2013,73.92195
Arab World (WB),,2014,76.12545
Arab World (WB),,2015,73.55157
Arab World (WB),,2016,74.92641
Arab World (WB),,2017,75.84271
Arab World (WB),,2018,72.94586
Arab World (WB),,2019,73.18887
Arab World (WB),,2020,73.58919
Argentina,ARG,1900,51.3
Argentina,ARG,1910,60.4
Argentina,ARG,1920,68.2
Argentina,ARG,1930,74.9
Argentina,ARG,1940,81.7
Argentina,ARG,1950,87.6
Argentina,ARG,1960,91.4
Argentina,ARG,1970,93
Argentina,ARG,1979,94.2
Argentina,ARG,1980,93.91286
Argentina,ARG,1991,96.04072
Argentina,ARG,2001,97.19331
Argentina,ARG,2006,98.6108
Argentina,ARG,2009,98.98342
Argentina,ARG,2010,98.95497
Argentina,ARG,2011,99.10833
Argentina,ARG,2012,99.10523
Argentina,ARG,2013,99.12195
Argentina,ARG,2014,98.99389
Argentina,ARG,2015,99.17996
Argentina,ARG,2016,99.12501
Argentina,ARG,2018,99.00387
Armenia,ARM,1989,98.75196
Armenia,ARM,2001,99.40016
Armenia,ARM,2011,99.74441
Armenia,ARM,2015,99.76842
Armenia,ARM,2016,99.74441
Armenia,ARM,2017,99.73607
Armenia,ARM,2020,99.78861
Aruba,ABW,2000,97.29125
Aruba,ABW,2010,96.82264
Aruba,ABW,2015,97.5242
Aruba,ABW,2018,97.80742
Aruba,ABW,2020,97.99
Australia,AUS,2003,99
Austria,AUT,2011,98
Azerbaijan,AZE,1999,98.7918
Azerbaijan,AZE,2007,99.59319
Azerbaijan,AZE,2009,99.75984
Azerbaijan,AZE,2010,99.77114
Azerbaijan,AZE,2011,99.77863
Azerbaijan,AZE,2012,99.77577
Azerbaijan,AZE,2013,99.78936
Azerbaijan,AZE,2014,99.78899
Azerbaijan,AZE,2015,99.78806
Azerbaijan,AZE,2016,99.79006
Azerbaijan,AZE,2017,99.79123
Azerbaijan,AZE,2019,99.79598
Bahamas,BHS,2003,95.6
Bahrain,BHR,1981,69.75351
Bahrain,BHR,1991,84.01383
Bahrain,BHR,2001,86.54874
Bahrain,BHR,2010,90.9774
Bahrain,BHR,2011,92.3
Bahrain,BHR,2015,95.71726
Bangladesh,BGD,1981,29.22723
Bangladesh,BGD,1991,35.3193
Bangladesh,BGD,2001,47.4855
Bangladesh,BGD,2007,46.6636
Bangladesh,BGD,2011,58.76918
Bangladesh,BGD,2012,57.86075
Bangladesh,BGD,2013,61.01554
Bangladesh,BGD,2014,61.0933
Bangladesh,BGD,2015,65.13733
Bangladesh,BGD,2016,72.75872
Bangladesh,BGD,2017,72.89297
Bangladesh,BGD,2018,73.9122
Bangladesh,BGD,2019,74.68446
Bangladesh,BGD,2020,74.9089
Barbados,BRB,1970,99.26808
Barbados,BRB,1980,99.5
Barbados,BRB,1984,99.6
Barbados,BRB,1994,99.6
Barbados,BRB,2002,99.7
Barbados,BRB,2004,99.6
Barbados,BRB,2014,99.6
Belarus,BLR,1989,97.88337
Belarus,BLR,1999,99.59073
Belarus,BLR,2009,99.61706
Belarus,BLR,2015,99.72204
Belarus,BLR,2019,99.874
Belgium,BEL,1475,10
Belgium,BEL,1550,17
Belgium,BEL,1650,25
Belgium,BEL,1750,13
Belgium,BEL,2003,99
Belize,BLZ,1991,70.29842
Belize,BLZ,2000,76.90298
Belize,BLZ,2001,80.9
Belize,BLZ,2015,82.77682
Benin,BEN,1979,16.48273
Benin,BEN,1992,27.24517
Benin,BEN,2002,34.65785
Benin,BEN,2006,28.70211
Benin,BEN,2012,32.94882
Benin,BEN,2015,38.44714
Benin,BEN,2018,42.3624
Benin,BEN,2021,45.84
Bermuda,BMU,2005,98
Bhutan,BTN,2005,52.81469
Bhutan,BTN,2012,55.31756
Bhutan,BTN,2015,63.90682
Bhutan,BTN,2017,66.56115
Bhutan,BTN,2021,70.95
Bolivia,BOL,1900,18
Bolivia,BOL,1910,20
Bolivia,BOL,1920,22
Bolivia,BOL,1930,25
Bolivia,BOL,1940,28
Bolivia,BOL,1950,32
Bolivia,BOL,1960,44
Bolivia,BOL,1970,58
Bolivia,BOL,1971,59
Bolivia,BOL,1972,60
Bolivia,BOL,1973,61
Bolivia,BOL,1974,62
Bolivia,BOL,1975,63
Bolivia,BOL,1976,63.20815
Bolivia,BOL,1992,79.99177
Bolivia,BOL,2001,86.72367
Bolivia,BOL,2007,90.74347
Bolivia,BOL,2008,90.69811
Bolivia,BOL,2009,91.16783
Bolivia,BOL,2011,92.22615
Bolivia,BOL,2012,94.46057
Bolivia,BOL,2015,92.45508
Bolivia,BOL,2020,93.85256
Bosnia and Herzegovina,BIH,1991,89.06359
Bosnia and Herzegovina,BIH,2000,96.6631
Bosnia and Herzegovina,BIH,2011,98.14204
Bosnia and Herzegovina,BIH,2013,96.99177
Bosnia and Herzegovina,BIH,2014,98.37765
Bosnia and Herzegovina,BIH,2015,98.48576
Bosnia and Herzegovina,BIH,2021,98.1
Botswana,BWA,1991,68.58091
Botswana,BWA,2003,81.18871
Botswana,BWA,2013,86.82318
Botswana,BWA,2014,87.70751
Botswana,BWA,2015,88.22441
Brazil,BRA,1900,35
Brazil,BRA,1910,35
Brazil,BRA,1920,35
Brazil,BRA,1930,39
Brazil,BRA,1940,44
Brazil,BRA,1950,49
Brazil,BRA,1960,60
Brazil,BRA,1970,68
Brazil,BRA,1979,75
Brazil,BRA,1980,74.58673
Brazil,BRA,2000,86.36788
Brazil,BRA,2004,88.61624
Brazil,BRA,2006,89.61523
Brazil,BRA,2007,90.00937
Brazil,BRA,2008,90.03662
Brazil,BRA,2009,90.29821
Brazil,BRA,2010,90.37918
Brazil,BRA,2011,91.41124
Brazil,BRA,2012,91.33785
Brazil,BRA,2013,91.48424
Brazil,BRA,2014,91.72943
Brazil,BRA,2015,92.0479
Brazil,BRA,2016,92.80844
Brazil,BRA,2017,93.07582
Brazil,BRA,2018,93.2275
Brazil,BRA,2021,94.3
British Virgin Islands,VGB,1991,97.8
Brunei,BRN,1981,77.7355
Brunei,BRN,1991,87.80418
Brunei,BRN,2001,92.67113
Brunei,BRN,2011,96.08556
Brunei,BRN,2015,96.65653
Brunei,BRN,2018,97.21411
Brunei,BRN,2021,97.59
Bulgaria,BGR,2001,98.20356
Bulgaria,BGR,2011,98.35245
Bulgaria,BGR,2015,98.38858
Bulgaria,BGR,2021,98.42
Burkina Faso,BFA,1975,8.83023
Burkina Faso,BFA,1991,13.56923
Burkina Faso,BFA,1996,12.84817
Burkina Faso,BFA,2003,21.82292
Burkina Faso,BFA,2005,23.5222
Burkina Faso,BFA,2006,22.47258
Burkina Faso,BFA,2007,28.29366
Burkina Faso,BFA,2014,34.5994
Burkina Faso,BFA,2015,37.7467
Burkina Faso,BFA,2018,39.34585
Burkina Faso,BFA,2021,46.04
Burundi,BDI,1979,22.50855
Burundi,BDI,1990,37.38472
Burundi,BDI,2000,59.30362
Burundi,BDI,2008,48.08406
Burundi,BDI,2014,61.51349
Burundi,BDI,2015,85.49609
Burundi,BDI,2017,68.37533
Burundi,BDI,2021,74.71
Cambodia,KHM,1998,67.33503
Cambodia,KHM,2004,73.60995
Cambodia,KHM,2008,76.87129
Cambodia,KHM,2009,76.13796
Cambodia,KHM,2014,78.05509
Cambodia,KHM,2015,80.52649
Cambodia,KHM,2021,83.91
Cameroon,CMR,1976,41.21621
Cameroon,CMR,2000,68.40916
Cameroon,CMR,2007,70.67994
Cameroon,CMR,2010,71.29051
Cameroon,CMR,2015,74.98558
Cameroon,CMR,2018,77.07104
Cameroon,CMR,2020,78.23
Canada,CAN,2003,99
Cape Verde,CPV,1990,62.79686
Cape Verde,CPV,2000,76.11044
Cape Verde,CPV,2004,80.01972
Cape Verde,CPV,2012,85.32779
Cape Verde,CPV,2015,86.79029
Cape Verde,CPV,2021,90.78
Caribbean small states,,2000,88.1378
Caribbean small states,,2010,91.76071
Cayman Islands,CYM,2007,98.86782
Cayman Islands,CYM,2017,98.86782
Cayman Islands,CYM,2021,98.86782
Central African Republic,CAF,1975,18.23617
Central African Republic,CAF,1988,33.62442
Central African Republic,CAF,2000,50.64517
Central African Republic,CAF,2010,36.75261
Central African Republic,CAF,2015,36.75261
Central African Republic,CAF,2018,37.39582
Central African Republic,CAF,2020,37.49
Central Europe and the Baltics,,1990,98.59496
Central Europe and the Baltics,,2000,98.96019
Central Europe and the Baltics,,2010,99.36096
Central Europe and the Baltics (WB),,1982,97.52069
Central Europe and the Baltics (WB),,1983,97.55046
Central Europe and the Baltics (WB),,1984,97.62107
Central Europe and the Baltics (WB),,1985,97.6643
Central Europe and the Baltics (WB),,1986,97.69282
Central Europe and the Baltics (WB),,1987,97.73837
Central Europe and the Baltics (WB),,1988,97.84171
Central Europe and the Baltics (WB),,1989,97.9182
Central Europe and the Baltics (WB),,1990,98.0141
Central Europe and the Baltics (WB),,1991,98.07627
Central Europe and the Baltics (WB),,1992,98.15403
Central Europe and the Baltics (WB),,1993,98.21993
Central Europe and the Baltics (WB),,1994,98.29029
Central Europe and the Baltics (WB),,1995,98.36125
Central Europe and the Baltics (WB),,1996,98.42608
Central Europe and the Baltics (WB),,1997,98.47904
Central Europe and the Baltics (WB),,1998,98.61683
Central Europe and the Baltics (WB),,1999,98.56674
Central Europe and the Baltics (WB),,2000,98.62656
Central Europe and the Baltics (WB),,2001,98.67109
Central Europe and the Baltics (WB),,2002,98.7195
Central Europe and the Baltics (WB),,2003,98.74887
Central Europe and the Baltics (WB),,2004,98.78723
Central Europe and the Baltics (WB),,2005,98.82567
Central Europe and the Baltics (WB),,2006,98.82452
Central Europe and the Baltics (WB),,2007,98.85415
Central Europe and the Baltics (WB),,2008,98.90093
Central Europe and the Baltics (WB),,2009,99.13605
Central Europe and the Baltics (WB),,2010,99.17223
Central Europe and the Baltics (WB),,2011,99.20524
Central Europe and the Baltics (WB),,2012,99.22562
Central Europe and the Baltics (WB),,2013,99.23651
Central Europe and the Baltics (WB),,2014,99.255
Central Europe and the Baltics (WB),,2015,99.27244
Central Europe and the Baltics (WB),,2016,99.29685
Central Europe and the Baltics (WB),,2017,99.31337
Central Europe and the Baltics (WB),,2018,99.32743
Central Europe and the Baltics (WB),,2019,99.34319
Central Europe and the Baltics (WB),,2020,99.3574
Chad,TCD,1993,10.89465
Chad,TCD,2000,25.65421
Chad,TCD,2004,28.38143
Chad,TCD,2014,39.04967
Chad,TCD,2015,26.00299
Chad,TCD,2016,22.31155
Chad,TCD,2021,26.76
Chile,CHL,1900,43
Chile,CHL,1910,53
Chile,CHL,1920,63
Chile,CHL,1930,75
Chile,CHL,1940,73
Chile,CHL,1950,79
Chile,CHL,1960,84
Chile,CHL,1970,88
Chile,CHL,1979,91
Chile,CHL,1980,92
Chile,CHL,1982,91.1284
Chile,CHL,1992,94.29114
Chile,CHL,2002,95.71662
Chile,CHL,2008,97.72245
Chile,CHL,2009,97.66423
Chile,CHL,2011,96.70301
Chile,CHL,2013,96.26706
Chile,CHL,2015,96.87413
Chile,CHL,2017,96.40228
Chile,CHL,2021,97.04
China,CHN,1982,65.50509
China,CHN,1990,77.78506
China,CHN,2000,90.92021
China,CHN,2010,95.12448
China,CHN,2015,96.35745
China,CHN,2018,96.84089
China,CHN,2020,97.15
Colombia,COL,1900,34
Colombia,COL,1910,39
Colombia,COL,1920,44
Colombia,COL,1930,52
Colombia,COL,1940,57
Colombia,COL,1950,62
Colombia,COL,1960,70
Colombia,COL,1970,78
Colombia,COL,1971,79
Colombia,COL,1972,79
Colombia,COL,1973,80
Colombia,COL,1974,81
Colombia,COL,1975,81
Colombia,COL,1976,82
Colombia,COL,1977,82
Colombia,COL,1978,83
Colombia,COL,1979,84
Colombia,COL,1980,84
Colombia,COL,1981,85
Colombia,COL,1993,91.06309
Colombia,COL,1996,91.20716
Colombia,COL,2004,92.80378
Colombia,COL,2005,92.84866
Colombia,COL,2006,92.29968
Colombia,COL,2007,92.65179
Colombia,COL,2008,93.37818
Colombia,COL,2009,93.24469
Colombia,COL,2010,93.37233
Colombia,COL,2011,93.58053
Colombia,COL,2014,94.18625
Colombia,COL,2015,94.24505
Colombia,COL,2016,94.65385
Colombia,COL,2018,95.09251
Colombia,COL,2019,95.24927
Colombia,COL,2020,95.63633
Comoros,COM,1980,47.91923
Comoros,COM,2000,68.48923
Comoros,COM,2012,49.19614
Comoros,COM,2014,77.57327
Comoros,COM,2015,78.13739
Comoros,COM,2018,58.81702
Comoros,COM,2021,61.99
Congo,COG,1984,59.61912
Congo,COG,2005,76.11479
Congo,COG,2011,79.31117
Congo,COG,2015,79.31117
Congo,COG,2018,80.29876
Congo,COG,2021,80.61
Cook Islands,COK,2011,95
Costa Rica,CRI,1900,36
Costa Rica,CRI,1910,46
Costa Rica,CRI,1920,57
Costa Rica,CRI,1930,67
Costa Rica,CRI,1940,73
Costa Rica,CRI,1950,79
Costa Rica,CRI,1960,83
Costa Rica,CRI,1970,88
Costa Rica,CRI,1971,89
Costa Rica,CRI,1972,89
Costa Rica,CRI,1973,89
Costa Rica,CRI,1974,90
Costa Rica,CRI,1975,90
Costa Rica,CRI,1976,90
Costa Rica,CRI,1977,91
Costa Rica,CRI,1978,91
Costa Rica,CRI,1979,91
Costa Rica,CRI,1980,92
Costa Rica,CRI,1981,92
Costa Rica,CRI,1982,92
Costa Rica,CRI,1983,92
Costa Rica,CRI,1984,92.62904
Costa Rica,CRI,2000,94.86819
Costa Rica,CRI,2011,97.40658
Costa Rica,CRI,2015,97.64725
Costa Rica,CRI,2018,97.86379
Costa Rica,CRI,2021,98.04
Cote d'Ivoire,CIV,1988,34.13928
Cote d'Ivoire,CIV,1998,36.35024
Cote d'Ivoire,CIV,2000,48.74076
Cote d'Ivoire,CIV,2012,40.98163
Cote d'Ivoire,CIV,2014,43.90842
Cote d'Ivoire,CIV,2015,43.26532
Cote d'Ivoire,CIV,2019,89.89342
Croatia,HRV,1991,96.70155
Croatia,HRV,2001,98.14668
Croatia,HRV,2011,99.12536
Croatia,HRV,2015,99.27259
Croatia,HRV,2021,99.45
Cuba,CUB,1900,46
Cuba,CUB,1910,57
Cuba,CUB,1920,64
Cuba,CUB,1930,71
Cuba,CUB,1940,76
Cuba,CUB,1950,78
Cuba,CUB,1960,79
Cuba,CUB,1970,89
Cuba,CUB,1971,90
Cuba,CUB,1972,90
Cuba,CUB,1973,90
Cuba,CUB,1974,91
Cuba,CUB,1975,91
Cuba,CUB,1976,91
Cuba,CUB,1977,92
Cuba,CUB,1978,92
Cuba,CUB,1979,92
Cuba,CUB,1980,93
Cuba,CUB,1981,97.84665
Cuba,CUB,2002,99.79907
Cuba,CUB,2012,99.75253
Cuba,CUB,2015,99.71072
Cuba,CUB,2021,99.67311
Cyprus,CYP,1992,94.36247
Cyprus,CYP,2001,96.80363
Cyprus,CYP,2011,98.67843
Cyprus,CYP,2015,99.05978
Cyprus,CYP,2021,99.36
Czechia,CZE,2011,99
Democratic Republic of Congo,COD,2001,67.17299
Democratic Republic of Congo,COD,2007,61.20555
Democratic Republic of Congo,COD,2012,75.01719
Democratic Republic of Congo,COD,2015,77.22167
Democratic Republic of Congo,COD,2016,77.04268
Democratic Republic of Congo,COD,2021,80.02
Denmark,DNK,2003,99
Djibouti,DJI,2003,67.9
Dominica,DMA,2003,94
Dominican Republic,DOM,1920,29
Dominican Republic,DOM,1930,26
Dominican Republic,DOM,1940,30
Dominican Republic,DOM,1950,43
Dominican Republic,DOM,1960,64
Dominican Republic,DOM,1970,67
Dominican Republic,DOM,1971,68
Dominican Republic,DOM,1972,68
Dominican Republic,DOM,1973,69
Dominican Republic,DOM,1974,70
Dominican Republic,DOM,1975,70
Dominican Republic,DOM,1976,71
Dominican Republic,DOM,1977,72
Dominican Republic,DOM,1978,73
Dominican Republic,DOM,1979,73
Dominican Republic,DOM,1980,74
Dominican Republic,DOM,1981,73.06457
Dominican Republic,DOM,2002,86.99647
Dominican Republic,DOM,2007,88.24446
Dominican Republic,DOM,2010,89.53873
Dominican Republic,DOM,2011,90.10638
Dominican Republic,DOM,2012,90.15518
Dominican Republic,DOM,2013,90.85815
Dominican Republic,DOM,2014,91.76376
Dominican Republic,DOM,2015,91.99121
Dominican Republic,DOM,2016,93.77846
Dominican Republic,DOM,2021,95.17
Early-demographic dividend,,1990,59.518055
Early-demographic dividend,,2000,69.11661
Early-demographic dividend,,2010,76.50836
East Asia & Pacific,,1990,82.054344
East Asia & Pacific,,2000,91.61869
East Asia & Pacific,,2010,95.10822
East Asia & Pacific (IDA & IBRD),,1990,79.458626
East Asia & Pacific (IDA & IBRD),,2000,90.649956
East Asia & Pacific (IDA & IBRD),,2010,94.68925
East Asia & Pacific (excluding high income),,1990,79.7442
East Asia & Pacific (excluding high income),,2000,90.77303
East Asia & Pacific (excluding high income),,2010,94.75167
East Asia and the Pacific (WB),,1976,65.94049
East Asia and the Pacific (WB),,1977,66.13179
East Asia and the Pacific (WB),,1978,67.14675
East Asia and the Pacific (WB),,1979,68.14903
East Asia and the Pacific (WB),,1980,68.64389
East Asia and the Pacific (WB),,1981,70.21549
East Asia and the Pacific (WB),,1982,70.95321
East Asia and the Pacific (WB),,1983,72.12058
East Asia and the Pacific (WB),,1984,73.06336
East Asia and the Pacific (WB),,1985,73.96934
East Asia and the Pacific (WB),,1986,74.76787
East Asia and the Pacific (WB),,1987,75.94237
East Asia and the Pacific (WB),,1988,79.85475
East Asia and the Pacific (WB),,1989,80.50332
East Asia and the Pacific (WB),,1990,80.41292
East Asia and the Pacific (WB),,1991,81.63425
East Asia and the Pacific (WB),,1992,82.16196
East Asia and the Pacific (WB),,1993,82.64431
East Asia and the Pacific (WB),,1994,83.21567
East Asia and the Pacific (WB),,1995,83.77902
East Asia and the Pacific (WB),,1996,84.27199
East Asia and the Pacific (WB),,1997,89.32085
East Asia and the Pacific (WB),,1998,89.66533
East Asia and the Pacific (WB),,1999,90.00658
East Asia and the Pacific (WB),,2000,90.29119
East Asia and the Pacific (WB),,2001,90.70855
